company,date_of_birth,date_of_joining,first_name,gender,naming_series,status,branch,department,designation,attendance_device_id,bank_ac_no,bank_name,bio,blood_group,cell_number,company_email,contract_end_date,create_user_permission,ctc,current_accommodation_type,current_address,date_of_issue,date_of_retirement,default_shift,education,emergency_phone_number,employee,employee_advance_account,employee_name,employee_number,employment_type,encashment_date,expense_approver,external_work_history,family_background,feedback,final_confirmation_date,grade,health_details,health_insurance_no,health_insurance_provider,held_on,holiday_list,iban,image,internal_work_history,job_applicant,last_name,leave_approver,leave_encashed,lft,marital_status,middle_name,new_workplace,notice_number_of_days,old_parent,passport_number,payroll_cost_center,permanent_accommodation_type,permanent_address,person_to_be_contacted,personal_email,place_of_issue,prefered_contact_email,prefered_email,reason_for_leaving,relation,relieving_date,reports_to,resignation_letter_date,rgt,salary_currency,salary_mode,salutation,scheduled_confirmation_date,shift_request_approver,unsubscribed,user_id,valid_upto
"Mingalar Mobile Distribution Co., Ltd.",1987-06-12,2022-04-01,Kyaw Min Oo,Male,HR-EMP-,Active,Yangon,Sales,General Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mingalar Mobile Distribution Co., Ltd.",1992-02-18,2021-08-01,Thandar Hlaing,Female,HR-EMP-,Active,Yangon,Accounts,Accountant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mingalar Mobile Distribution Co., Ltd.",1990-10-05,2020-06-15,Aung Ko Ko,Male,HR-EMP-,Active,Yangon,Sales,Sales Supervisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mingalar Mobile Distribution Co., Ltd.",1997-03-11,2023-01-10,Su Su Win,Female,HR-EMP-,Active,Mandalay,Sales,Sales Executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mingalar Mobile Distribution Co., Ltd.",1991-12-22,2020-09-01,Zaw Lin,Male,HR-EMP-,Active,Yangon,Warehouse,Warehouse Supervisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mingalar Mobile Distribution Co., Ltd.",1998-08-09,2023-05-01,Min Thu,Male,HR-EMP-,Active,Mandalay,Warehouse,Storekeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mingalar Mobile Distribution Co., Ltd.",1995-05-27,2022-11-01,Hnin Pwint,Female,HR-EMP-,Active,Yangon,Purchasing,Purchasing Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mingalar Mobile Distribution Co., Ltd.",1999-01-19,2023-07-01,Ye Htut Naing,Male,HR-EMP-,Active,Yangon,Delivery/Logistics,Delivery Driver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mingalar Mobile Distribution Co., Ltd.",1996-09-14,2022-02-01,Htet Naing,Male,HR-EMP-,Active,Yangon,Sales,Sales Executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mingalar Mobile Distribution Co., Ltd.",1994-04-03,2021-12-01,Thura Win,Male,HR-EMP-,Active,Yangon,Sales,Sales Executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mingalar Mobile Distribution Co., Ltd.",1998-11-08,2023-02-15,May Myint,Female,HR-EMP-,Active,Yangon,Sales,Sales Executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mingalar Mobile Distribution Co., Ltd.",1993-07-30,2021-03-01,Nay Lin,Male,HR-EMP-,Active,Mandalay,Sales,Sales Executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mingalar Mobile Distribution Co., Ltd.",1997-12-02,2022-09-01,Hnin Ei,Female,HR-EMP-,Active,Mandalay,Sales,Sales Executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mingalar Mobile Distribution Co., Ltd.",1990-05-10,2020-01-05,Aye Chan,Male,HR-EMP-,Active,Yangon,Accounts,Cashier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
